Country,City,Capital,Population,Winter,Summer,Year,Latitude,Longitude
Colombia,Cali,0,2445405,0,0,0,3.4517922999999997,-76.5324943
Colombia,Cartagena,0,1036134,0,0,0,10.4195841,-75.52712240000001
Colombia,Medellín,0,2529403,0,0,0,6.2443382000000005,-75.573553
Cuba,Havana,1,2130517,0,1,2012,23.135305,-82.3589631
Czech Republic,Prague,1,1294513,0,1,2016,50.0874654,14.4212535
Côte d'Ivoire,Abidjan,0,4395243,0,0,0,5.320357,-4.016107
Dominican Republic,Santo Domingo,1,1029607,0,0,0,18.4801972,-69.942111
Dominican Republic,Santo Domingo East,0,1121121,0,0,0,18.4801972,-69.942111
Ecuador,Guayaquil,0,2581884,0,0,0,-2.1899066,-79.887726
Ecuador,Quito,1,1805522,0,0,0,-0.2201641,-78.5123274
Egypt,Alexandria,0,5163750,0,1,1936,31.199004,29.894378000000003
Egypt,Cairo,1,9539673,0,1,2008,30.048819,31.243665999999997
Ethiopia,Addis Ababa,1,4215965,0,0,0,9.0107934,38.761252500000005
Finland,Helsinki,1,639227,1,2,2006,60.1674098,24.9425769
Finland,Lahti,0,119513,1,0,1972,60.9838761,25.656181399999998
Finland,Tampere,0,230064,1,0,1976,61.498021400000006,23.7603118
France,Albertville,0,0,2,0,1992,45.675462200000005,6.3925417
France,Annecy,0,0,1,0,2018,45.8992348,6.1288847
France,Chamonix,0,0,2,0,1924,45.924670500000005,6.8727506
France,Grenoble,0,512591,2,0,1968,45.1875602,5.7357819
France,Lille,0,1039397,0,1,2004,50.636565399999995,3.0635282000000004
France,Lyon,0,1639558,0,1,1968,45.75781370000001,4.8320114
France,Marseille,0,1585498,0,0,0,43.2961743,5.3699525
France,Paris,1,10706072,0,2,2024,48.856696899999996,2.3514616000000004
Georgia,Borjomi,0,0,1,0,2014,41.8386946,43.3791739
Georgia,Tbilisi,1,1113800,0,0,0,41.6934591,44.8014495
Germany,Berchtesgaden,0,0,1,0,1992,47.63108,13.0021634
Germany,Berlin,1,3613495,0,2,2000,52.517036499999996,13.388859900000002
Germany,Frankfurt,0,746878,0,1,1936,50.1106444,8.682091699999999
Germany,Garmisch-Partenkirchen,0,0,2,0,1960,47.4938359,11.103992
Germany,Hamburg,0,1830584,0,1,2024,53.543764100000004,10.009913300000001
Germany,Köln,0,1080394,0,1,1936,50.938361,6.959974000000001
Germany,Leipzig,0,581980,0,1,2012,51.3406321,12.3747329
Germany,Munich,0,1456039,1,2,2018,48.1371079,11.575382199999998
Germany,Nuremberg,0,515201,0,1,1936,49.453872,11.077297999999999
Ghana,Accra,1,1594419,0,0,0,5.560014099999999,-0.2057437
Ghana,Kumasi,0,1730249,0,0,0,6.698081,-1.6230403999999998
Greece,Athens,1,664046,0,2,2004,37.983941200000004,23.7283052
Guinea,Conakry,1,1879695,0,0,0,9.5170602,-13.6998434
Honduras,Tegucigalpa,1,1157509,0,0,0,14.0773859,-87.195419
Hong Kong,Hong Kong,1,7451000,0,0,0,22.2793278,114.16281310000001
Hungary,Budapest,1,2595024,0,1,2024,47.48138955,19.14607278448202
India,Agra,0,1585704,0,0,0,27.1752554,78.0098161
India,Ahmadabad,0,5633927,0,0,0,23.0216238,72.5797068
India,Allahabad,0,1168385,0,0,0,25.4381302,81.8338005
India,Amritsar,0,1159227,0,0,0,31.634308299999997,74.8736788
India,Aurangabad,0,1175116,0,0,0,19.877263,75.33902409999999
India,Bengaluru,0,8495492,0,0,0,12.979119800000001,77.5912997
India,Bhopal,0,1798218,0,0,0,23.253092300000002,77.3962718
India,Chennai,0,4646732,0,0,0,13.080172099999999,80.2838331
India,Coimbatore,0,1050721,0,0,0,11.0018115,76.96284250000001
India,Delhi,0,11034555,0,0,0,28.6517178,77.22193879999999
India,Dhanbad,0,1162472,0,0,0,23.795280899999998,86.43096379999999
India,Faridabad,0,1414050,0,0,0,28.402836999999998,77.30856259999999
India,Ghaziabad,0,1648643,0,0,0,28.711240999999998,77.4445372
India,Gwalior,0,1054420,0,0,0,26.2037247,78.1573628
India,Haora,0,1077075,0,0,0,22.5882216,88.323139
India,Hyderabad,0,6993262,0,0,0,17.38878595,78.46106473453145
India,Indore,0,1994397,0,0,0,22.7205162,75.8681124
India,Jabalpur,0,1081677,0,0,0,23.1608938,79.9497702
India,Jaipur,0,3046163,0,0,0,26.916194,75.820349
India,Jodhpur,0,1056191,0,0,0,26.2967719,73.0351433
India,Kalyan Dombivali,0,1247327,0,0,0,19.2334875,73.1182464
India,Kanpur,0,2768057,0,0,0,26.4609135,80.3217588
India,Kolkata,0,4496694,0,0,0,22.54541245,88.3567751581234
India,Kota,0,1001694,0,0,0,25.196825600000004,76.00089330885551
India,Lucknow,0,2817105,0,0,0,26.8381,80.9346001
India,Ludhiana,0,1618879,0,0,0,30.9090157,75.851601
India,Madurai,0,1017865,0,0,0,9.926115300000001,78.1140983
