,Country,City,Cluster Labels,Capital,Population,Winter,Summer,Year,Latitude,Longitude,Arts And Entertainment,Food,Nightlife,Outdoors And Recreation,Map_Color,Cluster_Color
245,Philippines,Davao,3,0,1632991,0,0,0,7.226507249999999,125.45488769135531,42.253754001093704,70.42292333515616,36.130021537167075,56.95071191451759,#A0A0A0,#dbb40c
246,Philippines,Manila,0,1,1780148,0,0,0,14.5906216,120.9799696,123.585229992113,102.23869026620258,115.15896431083259,121.33822581043823,#A0A0A0,#7e1e9c
247,Philippines,Quezon City,3,0,2936116,0,0,0,14.6509905,121.0486155,75.26950570072844,62.3272377521869,56.877861773853624,74.58833370343679,#A0A0A0,#dbb40c
248,Poland,Kraków,0,0,759104,1,0,2022,50.0469432,19.99715343583669,126.46488491695472,216.04417839979766,84.30992327796982,196.28404013152348,#75bbfd,#7e1e9c
249,Poland,Warszawa,0,1,1754511,0,0,0,52.2337172,21.071411128832267,80.36427243830333,131.66061654785864,70.10500361639225,129.3807790318784,#A0A0A0,#7e1e9c
251,Puerto Rico,San Juan,5,1,337288,0,1,2004,18.465299,-66.11666600000001,151.20609093712199,649.2967434358767,311.3066578117217,504.02030312373995,#ff878c,#b9a281
252,Qatar,Doha,0,1,956457,0,1,2020,25.2856329,51.5264162,84.68754998917882,217.46926416974313,51.23074011691064,204.92296046764255,#ff878c,#7e1e9c
253,Romania,Bucuresti,0,1,1826830,0,0,0,44.4361414,26.1027202,66.78234975339797,120.97458438935205,69.51933130066837,113.3110360569949,#A0A0A0,#7e1e9c
254,Russia,Chelyabinsk,0,0,1149829,0,0,0,55.15984079999999,61.4025547,51.31197769407451,79.14220288408102,58.26953399157614,119.14815159471539,#A0A0A0,#7e1e9c
255,Russia,Ekaterinburg,0,0,1420285,0,0,0,56.839104000000006,60.60825,73.92882414444988,62.66347951291466,36.61237005248947,137.2963876968355,#A0A0A0,#7e1e9c
256,Russia,Kazan,0,0,1168745,0,0,0,55.7823547,49.1242266,75.29443976230914,107.8079478414881,46.20340621778061,144.59954908898007,#A0A0A0,#7e1e9c
257,Russia,Moscow,3,1,11918057,0,2,2012,55.4792046,37.3273304,3.7757832505751563,18.79500995841856,7.299847617778636,10.15266162932431,#e50000,#dbb40c
258,Russia,Nizhny Novgorod,0,0,1266231,0,0,0,56.328571,44.003506,63.96937051770175,78.97453150333548,37.907775121601034,113.7233253648031,#A0A0A0,#7e1e9c
259,Russia,Novosibirsk,3,0,1511369,0,0,0,55.0282171,82.9234509,59.54866084986526,66.82683050929323,43.00736616934712,109.17254489141963,#A0A0A0,#dbb40c
260,Russia,Omsk,3,0,1158627,0,0,0,54.991375,73.37152900000002,37.97598364270813,72.49960513607917,39.70216471737669,85.44596319609332,#A0A0A0,#dbb40c
261,Russia,Perm,3,0,1007285,0,0,0,58.88439115,56.438994675625146,0.0,4.963838436986553,0.9927676873973106,9.927676873973105,#A0A0A0,#dbb40c
262,Russia,Rostov,0,0,1100091,0,0,0,47.22138579999999,39.7114196,69.99420956993558,97.26468083094943,47.26881685242403,183.62117315749333,#A0A0A0,#7e1e9c
263,Russia,Samara,3,0,1170485,0,0,0,53.198627,50.113987,55.532535658295494,52.96949555098955,33.31952139497729,134.98677898477982,#A0A0A0,#dbb40c
264,Russia,Sochi,2,0,441407,2,0,2014,43.5854823,39.723109,117.80510957007931,367.00822596832404,183.50411298416202,453.09657526953583,#0504aa,#f97306
265,Russia,St. Petersburg,3,0,4990602,0,1,2004,59.9606739,30.158655100000004,48.89189720999591,39.87494895405404,46.88813093089772,47.68963744253699,#ff878c,#dbb40c
266,Russia,Ufa,0,0,1084420,0,0,0,54.726288,55.947727,71.0056988989506,57.173419892661514,43.341140886372436,130.0234226591173,#A0A0A0,#7e1e9c
267,Russia,Volgograd,3,0,1018762,0,0,0,48.64820995,44.38576379902912,42.20809178198637,74.60034826583637,50.060760020495465,94.23201886210911,#A0A0A0,#dbb40c
268,Saudi Arabia,Al-Madinah,3,0,1100093,0,0,0,22.2826324,39.1336357,8.181126504759144,51.81380119680791,3.6360562243373966,33.63352007512092,#A0A0A0,#dbb40c
269,Saudi Arabia,Jiddah,3,0,3430697,0,0,0,21.581008800000006,39.1653612,25.942250219124567,59.46313533372373,39.35060426496423,63.25245278146103,#A0A0A0,#dbb40c
270,Saudi Arabia,Makkah,0,0,1534731,0,0,0,21.420847,39.826869,13.683179658194172,140.08969650055937,24.760039381494217,88.61487778640036,#A0A0A0,#7e1e9c
271,Saudi Arabia,Riyadh,3,1,5188286,0,0,0,24.6319692,46.7150648,31.995152156222687,34.50079660219194,33.92257096081442,43.752406864232235,#A0A0A0,#dbb40c
272,Senegal,Dakar,3,1,1056009,0,0,0,14.693425,-17.447938,5.681769757644111,58.71162082898915,11.363539515288222,29.355810414494574,#A0A0A0,#dbb40c
273,Serbia,Belgrade,0,1,1687132,0,1,1996,44.8178131,20.4568974,81.79561528084348,133.95513806862772,104.31904557556848,129.2133632697382,#ff878c,#7e1e9c
274,Sierra Leone,Freetown,3,1,1055964,0,0,0,8.479004,-13.26795,3.788007924512578,4.735009905640722,3.788007924512578,6.629013867897012,#A0A0A0,#dbb40c
275,Singapore,Singapore,3,1,5638676,0,0,0,1.357107,103.8194992,35.824012587352065,42.20849007816729,42.74052986906855,42.56318327210147,#A0A0A0,#dbb40c
277,Somalia,Mogadishu,3,1,1212000,0,0,0,2.042778,45.338564,0.8250825082508251,4.125412541254125,2.4752475247524752,5.775577557755775,#A0A0A0,#dbb40c
278,South Africa,Cape Town,2,1,433688,0,1,2004,-33.928992,18.417396,115.29025474534689,493.4422903100846,225.96889930087988,410.4333068934349,#ff878c,#f97306
279,South Korea,Busan,3,0,3428923,0,0,0,35.1799528,129.0752365,22.164393892776246,42.87060397681721,11.665470469882234,38.20441578886432,#A0A0A0,#dbb40c
